Eje,Metrica,Comunes,UM,Dirección,Meta (%23),Real,Importancia,Cumple %23,Cumple?,Corte,Año Esquema,Pilar ASG
Capital Humano,00. Objetivos,CH 2025-13. Proceso de PTU (Alineado y justificado a los procesos de ley),,Número,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-14. Definición de Macroestructuras SUMIMSA,x,Número,Arriba es bueno (>= Meta),1,1,2,"0,5",Parcial,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-15. Esquema de compensación variable,,Número,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-16. Capital Humano: Ahorros en desvinculaciones,,%,Arriba es bueno (>= Meta),"0,3","0,5",2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,00. Objetivos,CH 2025-17. Proyecto nueva oficina en VHSA,,Número,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,75","0,94",3,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,75","0,89",3,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,75","0,9",3,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,03. 360,04. Responsabilidad,,%,Arriba es bueno (>= Meta),"0,75","0,92",3,1,Si,2025-12-31T08:00:00Z,25
Capital Humano,03. 360,05. Enfoque al Cliente,,%,Arriba es bueno (>= Meta),"0,75","0,84",3,1,Si,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,01. EBITDA atribuible a la CDS (),x,USD,Arriba es bueno (>= Meta),10.000.000,8.000.000,1,"0,5",Parcial,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,02. Costo de Ventas / Ingresos Netos (%),x,%,Arriba es malo (<= Meta),"0,45","0,38",1,1,Si,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,03. Margen Bruto (%),x,%,Arriba es bueno (>= Meta),"0,3","0,25",1,"0,5",Parcial,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,04. Reducción estructural de costos vs año anterior (%),,%,Arriba es malo (<= Meta),"0,25","0,13",1,1,Si,2025-12-31T08:00:00Z,25
CDS,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,75","0,86",3,1,Si,2025-12-31T08:00:00Z,25
CDS,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,75","0,84",3,1,Si,2025-12-31T08:00:00Z,25
CDS,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,75","0,84",3,1,Si,2025-12-31T08:00:00Z,25
CDS,03. 360,04. Responsabilidad,,%,Arriba es bueno (>= Meta),"0,75","0,87",3,1,Si,2025-12-31T08:00:00Z,25
CDS,03. 360,05. Enfoque al Cliente,,%,Arriba es bueno (>= Meta),"0,75","0,83",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,01. Rotación de Inventario (),x,Número,Arriba es malo (<= Meta),3,1,2,1,Si,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,02. Confiabilidad de Inventario (%),x,%,Arriba es malo (<= Meta),"0,98","0,98",2,1,Si,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,03. Costo Total de Inventario,x,USD,Arriba es malo (<= Meta),20.000.000,24.184.197,2,"0,5",Parcial,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,04. Compras a Crédito (%),,%,Arriba es bueno (>= Meta),"0,7","0,77",2,1,Si,2025-12-31T08:00:00Z,25
CDS,02. Indicadores de Negocio,07. Accidentes en Almacén (),,Número,Arriba es malo (<= Meta),0,0,2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,01. Cumplimiento Plan Desarrollo institucional,x,Número,Arriba es bueno (>= Meta),5,5,2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,02. Reducción de Costos por Innovación,,%,Arriba es malo (<= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,03. Éxito Proyectos Implementados,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,04. Cumplimiento total de requisitos legales contractuales proveedores y clientes,,%,Arriba es bueno (>= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,01. Incrementar el crédito con proveedores en un 70% del total,,%,Arriba es bueno (>= Meta),"0,7","0,77",2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,02. Incrementar la satisfacción del cliente a 90% / Compras,,%,Arriba es bueno (>= Meta),"0,9","0,9",2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,03. Incrementar la Rotación a 3 vueltas por año,x,Número,Arriba es bueno (>= Meta),3,1,2,0,No,2025-12-31T08:00:00Z,25
